name_english,경도,위도
Airport,126.7994,37.5621
Kangnam,127.02854,37.49785
Hongdae,126.92251,37.55377
Chongdam,127.05077,37.51767
Samsung,127.06107,37.50801
Chunggye,127.03435,37.4843
Yangjae,127.07978,37.65082
Haeundae,129.15836,35.16324
Mockdong,126.86426,37.5263
Hwanggeum,128.6321,35.8419
Nampo,129.03479,35.09781
Seomyeon,129.05997,35.15789
Ilsan,126.77006,37.6822
Dongseongno,128.59557,35.87078
Euljilo,126.98263,37.5661
Gwonseon,127.04046,37.25296
Shinchon,126.9423,37.55915
Jukjeon,127.10889,37.32719
Seohyeon,127.12371,37.38479
Samsan,129.34063,35.54059
Sadang,126.9819,37.47645
Itaewon,126.99251,37.53855
Dunsan,127.38908,36.35587
Chungmuro,126.99278,37.56484
Migeum,127.1089,37.35085
Sangdong,126.75333,37.50114
Sangmu,126.86455,35.15039
Namcheon,129.1077,35.1526
Gojan,126.8317,37.31865
Guwol,126.71936,37.45506
Yeouido,126.92461,37.52156
Yeongdeungpo,126.90735,37.51581
Metro,126.90731,37.51656
Jungang,128.70183,35.24266
Chungjangno,126.91392,35.14982
Suwonyeoksa ,126.99964,37.26725
City hall,126.97697,37.56554
Pyeongchon,126.97516,37.39198
Edae,126.94589,37.55668
Olympic Park,127.1215,37.52067
Seouldae,126.9527,37.48119
Guro,126.85636,37.49439
Jamsil,127.1002,37.51326
Wansan,127.1208,35.79127
Bujeon,129.05785,35.15745
Dogok,127.04528,37.48855
Guui,127.09281,37.54435
Eunhaeng,127.42687,36.3296
Gyodae,127.01528,37.48983
Dongrae,129.07918,35.20624
Sinbu,127.17761,36.83114
Namyeong,126.97457,37.54586
Doksan,126.8988,37.46817
Suyu,127.00742,37.63827
 Dongmyoyeok,127.0166,37.57323
Anyang,126.91575,37.38898
Shincheon,127.09919,37.52455
Gyeungseongdae,129.09852,35.13976
Bupyengyeoksa,126.72363,37.49058
Nowon,127.07515,37.65249
Central city,127.0031,37.50403
Hwajung,126.83466,37.63759
Shindaebang,126.9172,37.4929
Yeonsu,126.64938,37.39747
Seodaemun,126.93906,37.5778
Emartjukjeon,127.11007,37.32529
Seongsan,126.90484,37.56564
Jorye,127.52435,34.96151
 Dangu,127.95678,37.32417
Guri,127.13132,37.59904
Hoehyeon,126.9777,37.55748
Mia,127.02613,37.6283
Wangsimni,127.02792,37.56165
Moran,127.13216,37.43183
Indong,128.64675,36.35095
Aekyung,126.88423,37.50112
Cheolsan,126.8689,37.47937
Sangbong,127.08698,37.59843
Siji,128.69503,35.84382
Chidren Park,127.08182,37.54935
Gagyeong,127.41172,36.62003
Deokcheon,129.01014,35.21495
Geumo,127.06657,37.75705
Jakjeon,126.72271,37.53029
Yeomchang,126.87069,37.55279
Centum City,129.12821,35.17366
Nampohang,129.40402,35.97453
Gyeonghuidae,129.34605,35.99712
Hadan,128.95176,35.10717
Kwangcheon,126.62269,36.50182
Buksuwon,126.99084,37.31897
Sanbon,126.92285,37.36115
Osan,127.05133,37.1635
Chuncheon,127.73999,37.88983
Chilgok,128.46305,36.01538
Jinju,126.85883,37.55003
Bucheonyeoksa,126.78261,37.48371
Gimhae,128.84525,35.27212
Yeongtong,127.05661,37.2751
n Chongno,126.97742,37.59472
n Chonho,127.12775,37.54425
Jeju,126.79988,33.42428
nYeouido,126.93039,37.52963
nHongdae,126.92456,37.55748
